,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist,cluster
6412,Savage Garden,Affirmation,I Knew I Loved You,6nozDLxeL0TE4MS9GqYU1v,0.61,0.497,9,-9.88,1,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,250360,4,all_out_90,2
6413,The KLF,Solid State Logik 1,Justified & Ancient,7E81YAfHOaSlnevLjKMghT,0.628,0.953,10,-4.989,0,0.0626,0.00276,0.0132,0.427,0.515,111.134,228372,4,all_out_90,0
6414,U2,The Best Of 1980 - 1990,Sweetest Thing - The Single Mix,4AOuWMwBYlZ96c07ye2w27,0.534,0.605,0,-7.096,1,0.0352,0.0941,4.35e-05,0.198,0.558,142.24,183160,4,all_out_90,1
6415,Robbie Williams,Life Thru A Lens,Let Me Entertain You,0SLtqCrXBRrnkxSOMA3X4W,0.478,0.965,10,-5.022,1,0.0642,0.000169,0.00251,0.0854,0.347,125.152,262000,4,all_out_90,3
6416,Various Artists,The Lion King: Special Edition Original Soundtrack (English Version),Can You Feel the Love Tonight,4f6jZRNyjZQ8ltv1txgZUG,0.309,0.275,10,-12.612,1,0.0332,0.867,0.000408,0.11,0.161,123.865,241280,4,all_out_90,2
6417,Lonestar,16 Biggest Hits,Amazed,5oQx6XZyrOOkGbme8DA9GO,0.56,0.541,1,-7.97,1,0.0288,0.23,0.0,0.118,0.278,139.76,240000,4,all_out_90,1
6418,Peter Andre,The Long Road Back,Mysterious Girl - Radio Edit,3GCpEbJzknVdpvx9WI03x3,0.655,0.822,8,-5.755,1,0.211,0.14,0.0,0.298,0.859,171.983,217107,4,all_out_90,5
6419,Extreme,Extreme II - Pornograffitti,More Than Words,1gVgkQFOKa8Wc1HYsJtPdH,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,334107,4,all_out_90,2
6420,Mariah Carey,Daydream,Always Be My Baby,2aBxt229cbLDOvtL7Xbb9x,0.65,0.531,4,-8.335,1,0.0364,0.457,0.0,0.249,0.487,78.946,258133,4,all_out_90,2
6421,The Corrs,Talk on Corners,What Can I Do,4rvT5iZVOCJeXZrDvy6JFK,0.631,0.516,9,-7.514,1,0.035,0.336,0.0,0.0974,0.688,78.0,259467,4,all_out_90,5
6422,Various Artists,Movie Ballads,"Show Me Heaven - From ""Days Of Thunder""",1umFfZGw8bsBd1a0fLTQI3,0.5,0.455,8,-10.483,1,0.0261,0.136,0.00363,0.0646,0.563,155.935,229920,4,all_out_90,2
6423,Meredith Brooks,Blurring The Edges,Bitch,3i6qNxyVgIdUZTTi5m25EM,0.617,0.886,9,-5.953,1,0.055,0.0112,9.63e-05,0.0523,0.629,96.328,252760,4,all_out_90,5
6424,Backstreet Boys,Backstreet Boys,Quit Playing Games (With My Heart),0Uqs7ilt5kGX9NzFDWTBrP,0.8,0.825,11,-6.552,0,0.034,0.0559,2.18e-06,0.141,0.903,100.035,232667,4,all_out_90,0
6425,Various Artists,The Lion King,"Circle of Life - From ""The Lion King""/Soundtrack Version",5vKkaZHPzuqQheytfKuXzp,0.3,0.387,10,-15.321,1,0.0331,0.264,0.215,0.106,0.137,160.587,291600,4,all_out_90,2
6426,The Goo Goo Dolls,Dizzy up the Girl,Iris,6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3,all_out_90,7
6427,Pretenders,Last of the Independents,I'll Stand by You,3Nf8oGn1okobzjDcFCvT6n,0.438,0.606,7,-6.549,1,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,240760,4,all_out_90,3
6428,Tal Bachman,Tal Bachman,She's so High,7mnGQesk1TzQLzQ9bYWZPR,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,224693,4,all_out_90,5
6429,All Saints,All Saints,Never Ever,7ziHnshbknkpFLDW5yGBjO,0.738,0.541,1,-5.485,1,0.0311,0.559,0.0,0.0492,0.309,134.187,387573,4,all_out_90,1
6430,Anastacia,Pieces of A Dream,I'm Outta Love - Radio Edit,2CaseM6BKvQpi6blK8nbxC,0.761,0.716,10,-5.8,0,0.056,0.396,0.0,0.0771,0.649,119.41,245400,4,all_out_90,0
6431,Madonna,Celebration (double disc version),Vogue,27QvYgBk0CHOVHthWnkuWt,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813,4,all_out_90,8
6432,Jennifer Paige,Jennifer Paige,Crush,6YXWauQKn5nQVhcC4KVplQ,0.733,0.706,1,-5.652,0,0.0292,0.0262,0.0,0.0881,0.598,115.04,199960,4,all_out_90,0
6433,Lighthouse Family,Postcards From Heaven,High,7zB3ZhA5v33pA4rCdKKGqq,0.664,0.622,10,-8.505,1,0.0253,0.0994,0.0738,0.112,0.614,102.342,310333,4,all_out_90,5
6434,Various Artists,Aladdin (Original Motion Picture Soundtrack),A Whole New World (Aladdin's Theme),7fLkHVJAJLENmSvhrEHZxV,0.538,0.189,2,-17.13,1,0.0344,0.636,0.0,0.174,0.161,107.829,250400,4,all_out_90,2
